ticker,section,key,title,style,applicability,sharpe,cagr,max_drawdown,calmar,ann_volatility,ann_turnover,hit_rate,params
GOOGL,6.5,6.5.volatility_targeting,Volatility targeting with risk-free asset,allocation,active,0.8442858620050334,0.145464509770326,-0.2647854783893858,0.5493673998103858,0.18012244180456755,3.51210408524245,0.5346798780487805,"{""target_vol"": ""0.15 (63% of folds)"", ""vol_window"": ""21 (65% of folds)"", ""max_leverage"": ""1.0 (74% of folds)"", ""rebalance_threshold"": ""0.1 (64% of folds)"", ""annualization"": ""252""}"
GOOGL,4.1.2,4.1.2.dual_momentum,Dual-momentum rotation,momentum,active,0.7413897508840697,0.15144288076266643,-0.3092277318668213,0.4897454696200731,0.22414209792444173,8.931402439024389,0.41310975609756095,"{""formation"": ""252"", ""fraction"": ""0.34"", ""ma_length"": ""200 (58% of folds)""}"
GOOGL,4.6,4.6.multi_asset_trend,Multi-asset trend following,momentum,active,0.663535149286521,0.13377865773793984,-0.34499260949594046,0.3877725320939492,0.2286457009280671,6.818597560975614,0.4092987804878049,"{""formation"": ""252 (79% of folds)"", ""weighting"": ""inverse_vol"", ""ma_filter"": ""True (63% of folds)"", ""ma_length"": ""200 (66% of folds)""}"
GOOGL,3.17,3.17.single_stock_knn,Single-stock KNN,machine-learning,active,0.6328476875765361,0.13887973949303922,-0.3702401902191499,0.37510714169316556,0.25789950833483277,120.91006097560975,0.4104420731707317,"{""horizon"": ""5 (91% of folds)"", ""k"": ""5 (74% of folds)"", ""feature_lengths"": ""(5, 21, 63)"", ""z1"": ""0.01 (56% of folds)"", ""z2"": ""0.0""}"
GOOGL,3.20,3.20.alpha_combo,Alpha combos,combo,active,0.4228366828939755,0.08418484996153985,-0.42565359163809957,0.1977778447435626,0.29187217653962805,43.50457317073171,0.5209603658536586,"{""d"": ""63 (57% of folds)"", ""n_factors"": ""2 (62% of folds)""}"
GOOGL,3.12,3.12.two_moving_averages,Two moving averages,technical,active,0.31661971238861003,0.051029485338119684,-0.4250263302553229,0.12006193900379095,0.29186768903794047,13.15701219512195,0.5190548780487805,"{""fast"": ""20 (38% of folds)"", ""slow"": ""100 (42% of folds)"", ""kind"": ""sma"", ""stop_loss"": ""0.0""}"
GOOGL,3.11,3.11.single_moving_average,Single moving average,technical,active,0.26541017274982437,0.03574796081029552,-0.5339254224631078,0.06695309739210922,0.2547715953309583,23.817073170731707,0.42378048780487804,"{""length"": ""200 (62% of folds)"", ""kind"": ""sma (66% of folds)"", ""lam"": ""0.9"", ""long_only"": ""True (76% of folds)""}"
GOOGL,10.4,10.4.trend_following,Trend following (sign/vol weighting),momentum,active,0.2327725150290953,0.02566290154112405,-0.5728407314307554,0.044799365919785616,0.29185680116577883,17.766768292682926,0.5201981707317073,"{""formation"": ""126 (33% of folds)"", ""vol_window"": ""63"", ""smoothing"": ""sign"", ""demean_returns"": ""False"", ""dollar_neutral"": ""False""}"
GOOGL,3.14,3.14.support_resistance,Support and resistance,technical,active,0.038526366904486346,-0.015934743429978138,-0.7379860122310089,-0.02159220251587932,0.2210426806936612,97.57317073170732,0.3178353658536585,"{""lookback"": ""1 (46% of folds)"", ""long_only"": ""True (90% of folds)""}"
GOOGL,3.15,3.15.channel,Channel (Donchian),technical,active,-0.016285879193891985,-0.03139694224049683,-0.542820172762797,-0.05784041164258047,0.23661943811720765,11.8125,0.3163109756097561,"{""length"": ""20 (44% of folds)"", ""mode"": ""reversion (72% of folds)"", ""long_only"": ""True (70% of folds)""}"
GOOGL,3.13,3.13.three_moving_averages,Three moving averages,technical,active,-0.0489291084156523,-0.03981499887480222,-0.5576665891160357,-0.07139570426464578,0.24016420956932338,25.833841463414632,0.3365091463414634,"{""t1"": ""5 (42% of folds)"", ""t2"": ""21 (38% of folds)"", ""t3"": ""50 (50% of folds)"", ""kind"": ""sma""}"
GOOGL,3.1,3.1.price_momentum_long_only,Price-momentum (long-only),momentum,not applicable: degenerates to buy & hold,0.8871388404473974,0.24111860090198634,-0.44320047678606267,0.5440395792226927,0.29143346981476215,0.09603658536585366,0.5346798780487805,"{""formation"": ""252"", ""skip"": ""21"", ""criterion"": ""cumulative"", ""fraction"": ""0.34"", ""weighting"": ""uniform""}"
